symbol,year,period,capex,cashDividendsPaid,cashInterestPaid,cashTaxesPaid,changeinCash,changesinWorkingCapital,deferredTaxesInvestmentTaxCredit,depreciationAmortization,foreignExchangeEffects,issuanceReductionCapitalStock,issuanceReductionDebtNet,netCashFinancingActivities,netIncomeStartingLine,netInvestingCashFlow,netOperatingCashFlow,otherFundsFinancingItems,otherFundsNonCashItems,otherInvestingCashFlowItemsTotal
GOOGL,2001,2001-12-31,-13,,2,1,0,0,-2,10,0,1,-5,-2,7,-29,31,1,17,-16
ADBE,2019,2019-11-29,-394.479,,152.075,352.478,1007.446,-22.935,2.707,736.669,-12.739,-2517.068,0,-2946.044,2951.458,-455.584,4421.813,-428.976,753.914,-61.105
ADBE,2018,2018-11-30,-266.579,,81.258,210.369,-663.297,943.426,-468.936,346.492,-1.738,-1859.01,2246.635,-5.568,2590.774,-4685.295,4029.304,-393.193,617.548,-4418.716
ADBE,2017,2017-12-01,-178.122,,69.43,396.668,1294.757,390.715,51.605,325.997,8.516,-941.649,-1.96,-1183.735,1693.954,-442.877,2912.853,-240.126,450.582,-264.755
ADBE,2016,2016-12-02,-203.805,,66.193,249.884,134.755,320.113,24.222,331.535,-14.234,-929.303,-0.108,-1090.706,1168.782,-960.033,2199.728,-161.295,355.076,-756.228
ADBE,2015,2015-11-27,-184.936,,56.014,203.01,-240.84,263.705,-69.657,339.473,-21.297,-460.73,387.091,-200.687,629.551,-1488.358,1469.502,-127.048,306.43,-1303.422
ADBE,2014,2014-11-28,-148.3,,68.9,20.1,282.8,396.1,-26.1,313.6,-6.6,-372.2,-14.7,-507.3,268.4,-490.7,1287.5,-120.4,335.5,-342.4
ADBE,2013,2013-11-29,-188.4,,64.8,129.7,-590.5,165.4,29.7,321.2,-5.2,-599.2,-0.2,-559.1,290,-1177.8,1151.7,40.3,345.4,-989.4
ADBE,2012,2012-11-30,-271.1,,66.3,201.1,435.6,11.5,89.2,299.8,5.4,-235.7,-6.7,-234.7,832.8,-834.7,1499.6,7.7,266.3,-563.6
ADBE,2011,2011-12-02,-210.3,,64,158.4,239.6,92.5,51.4,270.2,4.1,-550.3,-10,-550.4,832.8,-757.4,1543.3,9.9,296.4,-547.1
ADBE,2010,2010-12-03,-169.6,,34.6,389.1,-249.6,-22.6,-172.3,292.7,12,-710.8,489.7,-215.3,774.7,-1159.3,1113,5.8,240.5,-989.7
ADBE,2009,2009-11-27,-119.6,,2.1,105.2,113,183.2,49.6,282.4,14.7,-170.4,636.1,477.7,386.5,-1497.1,1117.8,12,216,-1377.5
ADBE,2008,2008-11-28,-111.8,,9.6,126.3,-60,-126.2,46.6,270.3,-14.4,-1403.6,350,-1021.6,871.8,-304.7,1280.7,32,218.3,-192.9
ADBE,2007,2007-11-30,-132.1,0,,55.2,173.9,71.8,58.4,315.5,1.7,-1435.4,,-1350.4,723.8,83.3,1439.3,85.1,269.8,215.4
ADBE,2006,2006-12-01,-83.3,0,,36.6,351.7,-53.8,-4.3,307.8,3.9,-854.9,,-774.7,505.8,195.2,927.2,80.2,171.7,278.4
ADBE,2005,2005-12-02,-48.9,-3,,78.6,161.8,-15.8,-7.1,64.3,-1.6,-243.6,,-246.6,602.8,-320.4,730.4,0,86.1,-271.5
ADBE,2004,2004-12-03,-63.2,-11.9,,61.4,186.2,30.3,46.3,60.8,3.6,-212.6,,-224.5,450.4,-276.6,683.7,,96,-213.4
ADBE,2003,2003-11-28,-39.5,-11.6,,18.7,6.2,26.7,36.5,49,4.5,128.6,,117,266.3,-548.4,433.1,,54.6,-508.9
ADBE,2002,2002-11-29,-31.6,-11.9,,32.8,-35,19,-5.5,63.5,1.2,-211.4,,-223.3,191.4,-142.3,329.3,,60.9,-110.7
ADBE,2001,2001-11-30,-43.2,-12,,16.9,-18.2,16,-17.6,56.6,-0.9,-397.6,,-409.6,205.6,-26.4,418.7,,158,16.7
ADBE,2000,2000-12-01,-29.8,-12,,13.2,65.7,-16.8,1.4,43.3,-2.5,-136.3,,-148.3,287.8,-228.1,444.6,,128.9,-198.2
ADBE,1999,1999-12-03,-42.2,-12.2,,68.8,60.3,65.9,0.7,50.8,-0.6,-335.2,,-347.5,237.8,74.2,334.2,,-20.9,116.4
ADBE,1998,1998-11-27,-59.7,-16.3,0,22.5,-156.7,36.7,-6.8,56.3,1.9,-305.5,,-321.8,105.1,-40.3,203.5,,12.2,19.4
ADBE,1997,1997-11-28,-33.9,-20.9,0,85.1,156.8,-36,-4.2,59.4,0.5,-198.3,0,-219.2,186.8,166.9,208.6,0,2.6,200.7
ADBE,1996,1996-11-29,-45.9,-14.6,0,30.5,52.3,33.5,-9.4,55.6,2.5,-86.9,0,-101.5,153.3,-46.9,198.1,0,-34.8,-1
ADBE,1995,1995-12-01,-36.2,-12.3,0,44.5,-145.6,-28.7,-6.8,60.4,0,52.5,,33.3,93.5,-355.9,177,-6.9,58.6,-319.7
ADBE,1994,1994-11-25,-37.7,-9.9,0,25.9,56.1,39.3,-12.5,53.2,-1.3,34.9,,21.4,6.3,-106.6,142.5,-3.6,56.2,-68.9
ADBE,1993,1993-11-26,-4.6,-8.5,0,20.3,47.5,23.8,-1,26,,-3.7,,-12.3,57,-47.9,107.7,,1.8,-43.3
ADBE,1992,1992-11-27,-17.7,-7.2,,13.5,16.9,19.2,-10,19,,-2.5,,-9.7,43.6,-53.8,80.4,,8.6,-36.1
ADBE,1991,1991-11-29,-17.2,-6.5,0,15.1,10.8,8.4,1.7,15.2,0,12.3,0,5.8,51.6,-74.1,79.1,0,2.2,-56.9
ADBE,1990,1990-11-30,-10.7,-4.7,0,20.1,6.4,-4.7,0.9,11.1,0,6,0,1.3,40.1,-43.6,48.7,0,1.3,-33
ADBE,1989,1989-11-30,-7.1,-4,0.1,19,-0.3,5.7,-2.1,5.7,0,-17,0,-21,33.7,-22.8,43.5,0,0.5,-15.8
ADBE,1988,1988-11-30,-7.1,-1.6,0.1,13.3,7.2,2.7,0,3.3,0,1.2,-0.3,-0.8,21.1,-19.2,27.2,0,0.1,-12.1
ADBE,1987,1987-11-30,-4.8,,0,7.6,4.5,-1.9,0,1.6,0,0.1,0,0.7,9,-5,8.8,0.6,0.1,-0.2
ADBE,1986,1986-11-30,-2.3,0,0,3.1,10.1,2.2,0.5,0.7,0,5.4,0,5.4,3.6,-2.3,7,0,0,0
ADBE,1985,1985-11-30,-1.3,0,0,0,-0.6,-0.5,0.3,0.3,0,0,0,0,0.5,-1.2,0.6,0,0,0
ADBE,1984,1984-11-30,-0.5,0,0,0,2.3,0,0,0.2,0,2.5,0,2.5,0.1,-0.4,0.3,0,0,0
